bin_start,bin_break,bin_index,frequency,site,year
9,10.5,7,0.014729165002082144,HR 8,2015
10.5,12,8,0.006490762893571492,HR 8,2015
12,13.5,9,0.002096023503439235,HR 8,2015
13.5,15,10,1.7424291219836604e-4,HR 8,2015
15,16.5,11,NA,HR 8,2015
16.5,18,12,NA,HR 8,2015
18,19.5,13,NA,HR 8,2015
19.5,21,14,NA,HR 8,2015
21,22.5,15,NA,HR 8,2015
22.5,24,16,NA,HR 8,2015
24,25.5,17,NA,HR 8,2015
25.5,27,18,NA,HR 8,2015
27,28.5,19,NA,HR 8,2015
28.5,30,20,NA,HR 8,2015
0,1.5,1,0.03964440644845579,HR 9,2015
1.5,3,2,0.17190679220667154,HR 9,2015
3,4.5,3,0.17345044244189844,HR 9,2015
4.5,6,4,0.18826748276011612,HR 9,2015
6,7.5,5,0.2001682650850257,HR 9,2015
7.5,9,6,0.13622857888633036,HR 9,2015
9,10.5,7,0.06767698952033675,HR 9,2015
10.5,12,8,0.0170052554889873,HR 9,2015
12,13.5,9,0.004810602161538903,HR 9,2015
13.5,15,10,8.31740791992133e-4,HR 9,2015
15,16.5,11,9.444208646969354e-6,HR 9,2015
16.5,18,12,NA,HR 9,2015
18,19.5,13,NA,HR 9,2015
19.5,21,14,NA,HR 9,2015
21,22.5,15,NA,HR 9,2015
22.5,24,16,NA,HR 9,2015
24,25.5,17,NA,HR 9,2015
25.5,27,18,NA,HR 9,2015
27,28.5,19,NA,HR 9,2015
28.5,30,20,NA,HR 9,2015
0,1.5,1,0.03626162631063724,HR10,2015
1.5,3,2,0.11380275339915687,HR10,2015
3,4.5,3,0.1656818728714852,HR10,2015
4.5,6,4,0.21309298986868253,HR10,2015
6,7.5,5,0.20811962688329474,HR10,2015
7.5,9,6,0.15006510240417162,HR10,2015
9,10.5,7,0.0770323560906677,HR10,2015
10.5,12,8,0.029518767456420545,HR10,2015
12,13.5,9,0.005573028840404463,HR10,2015
13.5,15,10,8.518758750790996e-4,HR10,2015
15,16.5,11,NA,HR10,2015
16.5,18,12,NA,HR10,2015
18,19.5,13,NA,HR10,2015
19.5,21,14,NA,HR10,2015
21,22.5,15,NA,HR10,2015
22.5,24,16,NA,HR10,2015
24,25.5,17,NA,HR10,2015
25.5,27,18,NA,HR10,2015
27,28.5,19,NA,HR10,2015
28.5,30,20,NA,HR10,2015
0,1.5,1,0.12182893715204705,HR11,2015
1.5,3,2,0.22943213427366016,HR11,2015
3,4.5,3,0.19191874534867706,HR11,2015
4.5,6,4,0.18015902479227605,HR11,2015
6,7.5,5,0.11774301462580572,HR11,2015
7.5,9,6,0.05952947903683193,HR11,2015
9,10.5,7,0.03392607386083984,HR11,2015
10.5,12,8,0.020105906877189755,HR11,2015
12,13.5,9,0.013576988330563103,HR11,2015
13.5,15,10,0.015170265359988463,HR11,2015
15,16.5,11,0.007040259239726528,HR11,2015
16.5,18,12,0.004761262053476002,HR11,2015
18,19.5,13,0.002312146813207309,HR11,2015
19.5,21,14,0.0010550502521618557,HR11,2015
