bin_index,count,bin_start,bin_end,year,frequency,site
4,716,6,8,2015,0.09114052953156823,HR15
5,1755,8,10,2015,0.22339613034623218,HR15
6,1539,10,12,2015,0.1959012219959267,HR15
7,362,12,14,2015,0.04607942973523422,HR15
8,1,14,16,2015,1.2729124236252545e-4,HR15
1,668,0,2,2015,0.08505220269926152,SP 1
2,1229,2,4,2015,0.15648077412783296,SP 1
3,1629,4,6,2015,0.20741023682200152,SP 1
4,1747,6,8,2015,0.22243442831678126,SP 1
5,1148,8,10,2015,0.14616755793226383,SP 1
6,1131,10,12,2015,0.14400305576776165,SP 1
7,302,12,14,2015,0.038451744334097274,SP 1
1,3755,0,2,2015,0.4779786150712831,SP 2
2,1542,2,4,2015,0.19628309572301425,SP 2
3,1380,4,6,2015,0.17566191446028515,SP 2
4,718,6,8,2015,0.09139511201629327,SP 2
5,361,8,10,2015,0.04595213849287169,SP 2
6,95,10,12,2015,0.012092668024439918,SP 2
7,5,12,14,2015,6.364562118126273e-4,SP 2
2,3,2,4,2015,3.819709702062643e-4,SP 3
3,246,4,6,2015,0.03132161955691368,SP 3
4,1587,6,8,2015,0.20206264323911383,SP 3
5,2079,8,10,2015,0.2647058823529412,SP 3
6,2117,10,12,2015,0.2695441813088872,SP 3
7,1129,12,14,2015,0.1437484084542908,SP 3
8,579,14,16,2015,0.07372039724980901,SP 3
9,114,16,18,2015,0.014514896867838044,SP 3
1,1856,0,2,2015,0.23622247677230496,SP 4
2,1562,2,4,2015,0.19880361461117474,SP 4
3,1297,4,6,2015,0.1650757286496118,SP 4
4,1577,6,8,2015,0.20071274023164057,SP 4
5,1063,8,10,2015,0.1352933689703449,SP 4
6,398,10,12,2015,0.0506554664630266,SP 4
7,97,12,14,2015,0.012345679012345678,SP 4
8,7,14,16,2015,8.909252895507191e-4,SP 4
1,307,0,2,2015,0.03908836261777438,SP 5
2,299,2,4,2015,0.03806977336389101,SP 5
3,521,4,6,2015,0.06633562515915457,SP 5
4,1081,6,8,2015,0.13763687293099058,SP 5
5,2067,8,10,2015,0.2631779984721161,SP 5
6,1786,10,12,2015,0.2274000509294627,SP 5
7,1025,12,14,2015,0.13050674815380697,SP 5
8,614,14,16,2015,0.07817672523554876,SP 5
9,53,16,18,2015,0.006748153806977336,SP 5
10,31,18,20,2015,0.003947033358798065,SP 5
11,2,20,22,2015,2.5464731347084286e-4,SP 5
NA,68,NA,NA,2015,0.008658008658008658,SP 5
1,36,0,2,2015,0.004584235324079969,SP 6
2,393,2,4,2015,0.05004456895453967,SP 6
3,448,4,6,2015,0.05704826181077295,SP 6
4,1331,6,8,2015,0.16948936712084553,SP 6
5,2342,8,10,2015,0.29822997580542465,SP 6
6,2580,10,12,2015,0.3285368648923978,SP 6
7,613,12,14,2015,0.07805934037947282,SP 6
8,104,14,16,2015,0.013243346491786578,SP 6
9,6,16,18,2015,7.640392206799949e-4,SP 6
1,1752,0,2,2015,0.2230142566191446,SP 7
2,612,2,4,2015,0.07790224032586558,SP 7
3,1379,4,6,2015,0.1755346232179226,SP 7
4,1737,6,8,2015,0.22110488798370673,SP 7
5,1197,8,10,2015,0.15236761710794297,SP 7
6,765,10,12,2015,0.09737780040733197,SP 7
7,386,12,14,2015,0.04913441955193483,SP 7
8,28,14,16,2015,0.003564154786150713,SP 7
1,56,0,2,2015,0.007129217059197963,SP 8
2,127,2,4,2015,0.016168045830681096,SP 8
3,632,4,6,2015,0.08045830681094844,SP 8
4,1353,6,8,2015,0.1722469764481222,SP 8
5,2619,8,10,2015,0.33341820496499047,SP 8
6,2028,10,12,2015,0.2581795035009548,SP 8
7,853,12,14,2015,0.10859325270528326,SP 8
8,161,14,16,2015,0.020496499045194145,SP 8
9,26,16,18,2015,0.003309993634627626,SP 8
1,156,0,2,2015,0.019852379740391956,SP 9
2,219,2,4,2015,0.027869686943242555,SP 9
3,431,4,6,2015,0.05484856197505727,SP 9
4,1112,6,8,2015,0.14151183507253753,SP 9
5,2435,8,10,2015,0.3098752863324001,SP 9
6,2610,10,12,2015,0.3321455841180962,SP 9
7,683,12,14,2015,0.08691779078645966,SP 9
8,185,14,16,2015,0.023542886230593026,SP 9
9,27,16,18,2015,0.003435988801221685,SP 9
1,1,0,2,2015,1.273074474856779e-4,SP10
2,48,2,4,2015,0.00611075747931254,SP10
3,55,4,6,2015,0.007001909611712286,SP10
4,168,6,8,2015,0.021387651177593888,SP10
5,640,8,10,2015,0.08147676639083386,SP10
6,4554,10,12,2015,0.5797581158497772,SP10
7,2389,12,14,2015,0.30413749204328455,SP10
1,821,0,2,2015,0.10454603336304596,SP11
2,831,2,4,2015,0.10581943206417929,SP11
3,2624,4,6,2015,0.33413981917738445,SP11
4,1828,6,8,2015,0.23277728256717178,SP11
5,842,8,10,2015,0.10722017063542595,SP11
6,598,10,12,2015,0.07614924232777283,SP11
7,275,12,14,2015,0.035018464281166437,SP11
8,34,14,16,2015,0.004329555583853305,SP11
1,93,0,2,2015,0.011838085539714868,SP12
2,514,2,4,2015,0.06542769857433808,SP12
3,378,4,6,2015,0.048116089613034624,SP12
4,464,6,8,2015,0.059063136456211814,SP12
5,1162,8,10,2015,0.14791242362525459,SP12
6,1917,10,12,2015,0.2440173116089613,SP12
7,1615,12,14,2015,0.2055753564154786,SP12
8,1009,14,16,2015,0.1284368635437882,SP12
9,673,16,18,2015,0.08566700610997963,SP12
10,31,18,20,2015,0.003946028513238289,SP12
1,136,0,2,2015,0.01730940562555683,SP13
